lang	category	byte_premium	1000mb_scaled_mb	1000mb_tokens	100mb_scaled_mb	100mb_tokens	10mb_scaled_mb	10mb_tokens	5mb_scaled_mb	5mb_tokens	full_scaled_mb	full_tokens	proportions
zai_latn	dropped	1.054833032											bible:0.5054378552303779,glot500:0.4945621447696221
zap_latn	5mb	1.075680556							5.001404897	1284608	9.578911641	2395136	bible:0.0815844674528867,madlad400:0.9184155325471133
zea_latn	dropped	1.186593115											wiki:0.44422053159711833,glot500:0.5557794684028816
zho_hans	1000mb	0.9359663918	1000.002699	206204416	100.0009111	20636160	10.00080781	2137088	5.000031027	1085952			oscar:1.0
zho_hant	100mb	0.989382544			100.0022313	24095232	10.00103353	2445824	5.000983725	1239552	177.3236137	42692096	nllb:0.3642318218980981,tatoeba:0.0008983785593267072,wiki:0.3354996238881189,glot500:0.2993701756544563
zho_latn	dropped	1.216752869											madlad400:1.0
zlm_latn	dropped	1.140833352											tatoeba:0.0008223013636541738,bible:0.1924021048373347,glot500:0.8067755937990111
zne_latn	dropped	1.323637271											madlad400:1.0
zsm_latn	100mb	1.143822408			100.0018172	21624832	10.00173711	2225664	5.000569997	1136640	859.5193325	185929728	nllb:0.912303532135374,glot500:0.08769646786462602
zul_latn	100mb	1.163840155			100.0020806	26162688	10.00150317	2683904	5.001899078	1380864	764.1386585	199965696	wiki:0.0032380357370843564,nllb:0.3471065640614732,wortschatz:0.007848913603806261,glot500:0.46890147477698657,madlad400:0.17290501182064957
zza_latn	10mb	1.199780688					10.00114614	3260416	5.000449715	1659392	46.77599711	14813184	tatoeba:0.00018393423141668455,madlad400:0.35784432239270414,wiki:0.11399806738649629,nllb:0.3344703421545195,glot500:0.19350333383486337
