lang	byte_premium	original_mb	scaled_mb
mus_latn	1.321850762	1.414757	1.070284968
mux_latn	2.081476995	2.010216	0.9657642169
muy_latn	1.523876026	1.442413	0.9465422222
mva_latn	1.36827044	1.412217	1.032118329
mvn_latn	1.606045576	1.699401	1.058127506
mwe_latn	1.168661288	1.129517	0.9665050187
mwf_latn	1.385484975	1.04434	0.7537721581
mwl_latn	1.241381732	10.934166	8.808060986
mwp_latn	1.579024479	1.01868	0.6451324939
mxb_latn	1.915160796	1.78305	0.9310184313
mxp_latn	1.857399831	1.761103	0.948155034
mxq_latn	1.527725081	1.497441	0.9801770087
mxt_latn	1.495872094	1.463815	0.978569629
mxv_latn	1.43485406	1.43931	1.0031055
mya_mymr	5	4291.885347	858.3770694
myk_latn	1.251539393	1.271541	1.015981604
myu_latn	1.665625929	1.672397	1.004065181
myv_cyrl	1.773695539	32.391618	18.26221992
myw_latn	1.088800256	1.086649	0.9980241959
myy_latn	1.690402505	1.698291	1.004666637
mza_latn	1.638031131	1.657902	1.012130947
mzh_latn	1.394010995	4.666413	3.347472162
mzn_arab	1.493955306	6.356622	4.254894355
nab_latn	3.325153711	3.064084	0.9214864233
naf_latn	1.506811273	1.50099	0.996136694
nag_latn	1.154650179	1.127992	0.9769123329
nah_latn	1.283512003	3.563814	2.776611354
nak_latn	1.737100866	1.730728	0.9963313207
nan_latn	1.14871192	55.973605	48.72727796
nap_latn	1.23163545	9.043013	7.342280545
naq_latn	1.44203448	1.049263	0.7276268456
nas_latn	1.518372151	1.477584	0.973136921
nav_latn	1.351024496	6.404642	4.740581698
naw_latn	1.418061301	1.421733	1.002589239
nbl_latn	1.257793314	5.387756	4.28349868
nca_latn	1.307878677	1.231293	0.9414428277
nch_latn	1.47267491	5.715814	3.881246269
ncj_latn	1.316655619	1.286229	0.9768909815
ncl_latn	1.670046399	1.859273	1.113306194
ncq_laoo	3.191403625	2.780411	0.8712188512
ncu_latn	1.93524948	1.802685	0.9315000565
ndc_latn	1.234394313	1.017793	0.824528264
nde_latn	0.969100135	10.346163	10.67605155
ndh_latn	1.511112889	1.395525	0.9235081046
ndj_latn	1.041612763	1.034533	0.9932030758
ndo_latn	1.33381137	1.944494	1.457847821
nds_latn	1.135906023	92.576307	81.49997016
ndz_latn	1.886475738	1.80579	0.9572293794
nep_deva	2.629966681	5692.779462	2164.582351
new_deva	2.561603163	35.111268	13.70675541
nfa_latn	1.636191173	1.938755	1.184919606
ngp_latn	1.038757971	1.024835	0.9865965207
ngu_latn	1.435018628	9.356021	6.519790627
nhe_latn	1.492247034	7.884093	5.283369858
nhg_latn	1.295716669	1.323506	1.021447074
nhi_latn	1.281600421	1.239371	0.9670494639
nho_latn	1.749050307	1.386565	0.7927530697
nhr_latn	1.421199515	1.352952	0.9519789345
nhu_latn	1.327165093	1.298257	0.9782181635
nhw_latn	1.51142831	6.088318	4.028188409
nhx_latn	1.315942493	1.281949	0.9741679495
nhy_latn	1.290196796	1.341269	1.039584817
nia_latn	1.349841437	3.094739	2.292668543
nii_latn	1.5137414	1.622184	1.071638789
nij_latn	1.298286309	1.331286	1.025417884
nin_latn	1.157093552	1.173173	1.013896411
niy_latn	2.052604512	2.017308	0.9828040366
nko_latn	1.370210967	1.290048	0.9414958945
